path,title_len,meta_len,h1_count,h2_count,h3_count,word_count,canonical,canonical_ok,canonical_abs,robots,is_noindex,has_og_image,og_image_abs,img_count,img_missing_wh,img_missing_alt,amazon_img_count,amazon_missing_wh,img_lazy,img_non_lazy,blog_out_links,app_links,external_links,indegree,click_depth,in_sitemap,broken_blog_links,weak_anchor_count,anchor_count,cta_anchor_count,has_blogposting,has_breadcrumb_schema,has_preconnect
/blog/nike-pegasus-41-vs-brooks-ghost-16,55,144,1,12,10,1713,https://www.correrjuntos.com/blog/nike-pegasus-41-vs-brooks-ghost-16,1,1,"index, follow",0,1,1,3,0,1,0,0,1,2,9,5,22,3,1,1,,3,56,2,1,1,1
/blog/no-tengo-con-quien-correr,61,143,1,12,10,2804,https://www.correrjuntos.com/blog/no-tengo-con-quien-correr,1,1,"index, follow",0,1,1,3,0,1,0,0,1,2,13,4,20,6,1,0,,4,59,1,1,1,1
/blog/nutricion-dia-de-carrera,60,139,1,11,5,930,https://www.correrjuntos.com/blog/nutricion-dia-de-carrera,1,1,"index, follow",0,1,1,3,0,1,0,0,1,2,7,5,17,35,1,1,,3,51,2,1,1,1
/blog/nutricion-para-runners,52,144,1,11,6,1030,https://www.correrjuntos.com/blog/nutricion-para-runners,1,1,"index, follow",0,1,1,3,0,1,0,0,1,2,12,5,14,66,1,1,,3,51,2,1,1,1
/blog/nutricion-recuperacion-post-entreno,51,146,1,11,15,1422,https://www.correrjuntos.com/blog/nutricion-recuperacion-post-entreno,1,1,"index, follow",0,1,1,3,0,1,0,0,1,2,15,5,6,16,1,0,,3,51,2,1,1,1
/blog/nutricion-trail-running,61,153,1,12,18,1603,https://www.correrjuntos.com/blog/nutricion-trail-running,1,1,"index, follow",0,1,1,3,0,1,0,0,1,2,14,5,14,13,1,0,/blog/mejores-geles-energia-running,3,52,2,1,1,1
/blog/pack-basico-running-principiantes,50,147,1,12,22,4324,https://www.correrjuntos.com/blog/pack-basico-running-principiantes,1,1,"index, follow",0,1,1,3,0,1,0,0,1,2,17,5,17,16,1,1,,3,72,2,1,1,1
/blog/periostitis-tibial-running,63,144,1,14,36,4742,https://www.correrjuntos.com/blog/periostitis-tibial-running,1,1,"index, follow",0,1,1,3,0,1,0,0,1,2,12,5,11,9,1,1,,2,46,2,1,1,1
/blog/plan-entrenamiento-10k,55,155,1,9,0,949,https://www.correrjuntos.com/blog/plan-entrenamiento-10k,1,1,"index, follow",0,1,1,3,0,1,0,0,1,2,9,5,11,24,1,1,,3,43,2,1,1,1
/blog/plan-entrenamiento-media-maraton,56,146,1,12,11,1695,https://www.correrjuntos.com/blog/plan-entrenamiento-media-maraton,1,1,"index, follow",0,1,1,3,0,1,0,0,1,2,8,5,17,42,1,1,,3,51,2,1,1,1
/blog/polar-pacer-pro-review,61,148,1,15,23,4665,https://www.correrjuntos.com/blog/polar-pacer-pro-review,1,1,"index, follow",0,1,1,6,0,1,3,0,4,2,14,5,26,7,1,1,,3,67,2,1,1,1
/blog/por-que-dejan-correr-3-meses,62,150,1,12,8,2486,https://www.correrjuntos.com/blog/por-que-dejan-correr-3-meses,1,1,"index, follow",0,1,1,3,0,1,0,0,1,2,14,4,17,2,1,0,,5,57,1,1,1,1
/blog/potencia-en-running,52,147,1,18,59,6716,https://www.correrjuntos.com/blog/potencia-en-running,1,1,"index, follow",0,1,1,3,0,1,0,0,1,2,12,5,20,3,1,1,,4,61,2,1,1,1
/blog/prevenir-lesiones-running,52,150,1,15,32,4578,https://www.correrjuntos.com/blog/prevenir-lesiones-running,1,1,"index, follow",0,1,1,3,0,1,0,0,1,2,18,5,11,21,1,1,,2,55,2,1,1,0
/blog/primera-quedada-running,60,152,1,11,24,2542,https://www.correrjuntos.com/blog/primera-quedada-running,1,1,"index, follow",0,1,1,3,0,1,0,0,1,2,13,5,16,12,1,0,,5,54,2,1,1,1
/blog/proteinas-para-runners,62,146,1,14,40,5424,https://www.correrjuntos.com/blog/proteinas-para-runners,1,1,"index, follow",0,1,1,3,0,1,0,0,1,2,17,5,20,6,1,1,,4,65,2,1,1,1
/blog/puedo-correr-todos-los-dias,61,149,1,10,6,1584,https://www.correrjuntos.com/blog/puedo-correr-todos-los-dias,1,1,"index, follow",0,1,1,3,0,1,0,0,1,2,12,5,14,3,1,0,,4,50,2,1,1,1
/blog/que-comer-antes-de-correr,64,144,1,12,17,1667,https://www.correrjuntos.com/blog/que-comer-antes-de-correr,1,1,"index, follow",0,1,1,3,0,1,0,0,1,2,11,5,16,4,1,1,/blog/nutricion-antes-de-correr,4,53,2,1,1,1
/blog/que-gel-energetico-usar-maraton,57,156,1,12,25,4094,https://www.correrjuntos.com/blog/que-gel-energetico-usar-maraton,1,1,"index, follow",0,1,1,3,0,1,0,0,1,2,11,5,20,30,1,1,,4,59,2,1,1,1
/blog/que-zapatillas-running-comprar-segun-nivel,53,149,1,12,26,4864,https://www.correrjuntos.com/blog/que-zapatillas-running-comprar-segun-nivel,1,1,"index, follow",0,1,1,12,0,1,9,0,10,2,16,5,27,6,1,1,,3,71,2,1,1,1
/blog/quedadas-correr-barcelona,54,149,1,12,20,2489,https://www.correrjuntos.com/blog/quedadas-correr-barcelona,1,1,"index, follow",0,1,1,3,0,1,0,0,1,2,18,4,16,4,1,0,,5,61,1,1,1,0
/blog/recetas-runners-rapidas,54,154,1,10,18,1446,https://www.correrjuntos.com/blog/recetas-runners-rapidas,1,1,"index, follow",0,1,1,3,0,1,0,0,1,2,17,5,14,17,1,0,,3,52,2,1,1,1
